algorithm,controller,second,bits_per_second,path,hop_count,total_bandwidth_mbps
bellman-ford,bellman_ford_osken_controller.py,11,94369578.80418067,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,12,94375428.8864773,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,13,104857500.00009537,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,14,94371840.0,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,15,94371935.6250969,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,16,94368723.8528982,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,17,94372408.12842017,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,18,94373161.8935159,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,19,94367306.467797,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
bellman-ford,bellman_ford_osken_controller.py,20,94368723.8528982,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,1,113232615.13173895,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,2,94376182.6998284,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,3,94374669.4598304,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,4,94369387.563733,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,5,104855087.56020074,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,6,94376368.34227774,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,7,94367970.15869443,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,8,94368825.0963204,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,9,94373347.52408126,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,10,94372031.2503876,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,11,94370996.25754364,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,12,94368633.8589275,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,13,104861587.65164147,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,14,94356081.3818817,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,15,94389016.2506135,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,16,94371277.50335275,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,17,94377881.63675773,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,18,94368060.15139927,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,19,94367497.69981,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
dijkstra,dijkstra_osken_controller.py,20,94368532.61591564,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
